SYMBOL ,SERIES ,LTP ,%CHANGE ,NEW 52W/H PRICE ,PREV. HIGH ,PREV. HIGH DATE 
AAREYDRUGS,EQ,101,-0.71,103.5,102.96,17-Sep-2026
ACE,EQ,1229.1,1.95,1241.5,1213.2,17-Sep-2026
ACMESOLAR,EQ,438.65,6.65,440.7,430.5,04-Sep-2026
ACSTECH,BE,66.15,5,66.15,63,17-Sep-2026
AEGISVOPAK,EQ,316,1.71,317,316,17-Sep-2026
AHCL,EQ,23.1,5.77,24.78,22.94,15-Sep-2026
AKANKSHA,SM,139.65,5,139.65,139.5,26-Aug-2026
ALGOQUANT,EQ,72.67,3.62,76.2,71.85,17-Sep-2026
ALUFLUOR,EQ,538,9.31,542.5,509.9,02-Sep-2026
AMEYA,SM,142.55,4.97,142.55,135.8,17-Sep-2026
ANANDRATHI,EQ,2225,0.8,2268.4,2255,07-Sep-2026
ANLON,SM,736,5.61,763.9,748,15-Jun-2026
APARINDS,EQ,18791,5.56,19080,18465,12-Aug-2026
APOORVA,EQ,31.1,4.54,31.2,29.75,17-Sep-2026
ASTAR,EQ,807.35,20,807.35,723,13-May-2026
AUROPHARMA,EQ,1734,2.6,1734,1717,31-Aug-2026
AVALON,EQ,2602,16.68,2618,2424,07-Sep-2026
BHAGYANGR,EQ,447,0.11,467.9,446.5,17-Sep-2026
BIKEWO,ST,116.6,3.92,116.6,115.8,19-Aug-2026
BIRLACABLE,EQ,408.4,1.68,418.8,411.95,15-Sep-2026
BODALCHEM,EQ,191.23,5,191.23,189.68,09-Sep-2026
CONFIPET,EQ,91.8,5.81,92.61,91.65,15-Sep-2026
CPCAP,EQ,145.5,3.15,152,144.4,19-Sep-2025
CSM,EQ,111.5,8.63,114.9,113,02-Jul-2026
DICIND,EQ,628.3,-0.02,642,638.95,04-Sep-2026
DSKULKARNI,BE,22.71,1.98,22.71,22.27,17-Sep-2026
EMCURE,EQ,2083,9.07,2100.7,2048,10-Aug-2026
EMIL,EQ,195.9,5.85,202.86,196.74,13-Aug-2026
FILATEX,EQ,93.42,3.4,94.5,91.9,17-Sep-2026
GCSL,EQ,617.2,3.84,620.5,616.9,10-Sep-2026
GFSTEELS,BE,25.44,4.99,25.44,24.23,17-Sep-2026
GJL,ST,306.65,5,306.65,292.95,16-Sep-2026
GKSL,EQ,182,2.35,186,183.05,15-Sep-2026
GLASSWALL,EQ,273.6,6.12,304.2,257.82,17-Sep-2026
GMMPFAUDLR,EQ,1458,6.94,1475,1384.8,15-Sep-2026
GOCLCORP,EQ,448,-1.79,461.4,459.9,22-Jun-2026
GRAUWEIL,EQ,86.7,9.62,88.53,87.4,02-Jul-2026
GREENCHEF,SM,74,3.21,74,73.5,15-Sep-2026
HPTL,SM,434.05,5,434.05,413.4,17-Sep-2026
IL&FSENGG,BZ,40.95,5,40.95,40.05,17-Sep-2026
IMPEXFERRO,BZ,5.58,1.82,5.58,5.48,17-Sep-2026
INDOKEM,EQ,615.05,-4.37,668,666.9,17-Sep-2026
INDOMIM,EQ,1062,6.93,1064,1028.5,10-Sep-2026
IPCALAB,EQ,1999,1.46,2038,2014,17-Sep-2026
IRISDOREME,EQ,64.98,3.88,66.3,65,07-Sep-2026
JSWINFRA,EQ,349.65,7.04,356.95,355.8,13-Jul-2026
JYOTICNC,EQ,1053.55,7.41,1065,1058.85,08-Sep-2026
KAMDHENU,BE,41.05,4.99,41.05,40.95,08-Sep-2026
KARAMTARA,EQ,350,-0.57,377.9,352,17-Sep-2026
KATARIA,SM,149.85,0.4,150,150,17-Sep-2026
KISSHT,EQ,356.5,-0.96,373,366.8,17-Sep-2026
KOPRAN,EQ,276,2.76,282.1,274.78,16-Sep-2026
KROSS,EQ,238.8,-1.34,248.77,243.8,17-Sep-2026
LAURUSLABS,EQ,1954,0.3,1982,1981.8,11-Sep-2026
LENSKART,EQ,721.4,6.1,725,703.5,10-Sep-2026
LIQUIDCASE,EQ,116,0.04,116.01,115.96,17-Sep-2026
LIQUIDSHRI,EQ,1122.15,0.04,1122.15,1121.74,17-Sep-2026
MACPOWER,EQ,2100,9.28,2149,2050,28-Aug-2026
MASPTOP50,EQ,124.59,19.99,124.59,111.56,09-Sep-2026
MAXESTATES,EQ,594,2.84,595,584,17-Sep-2026
MBECL,BE,401.59,5,401.59,382.47,17-Sep-2026
MKEXIM,EQ,69,3.56,69.87,68.69,27-Aug-2026
MONQ50,EQ,396.3,20,396.3,330.33,17-Sep-2026
MOREPENLAB,EQ,120.8,0.37,123.45,122.55,08-Sep-2026
MRIL,ST,85.3,4.98,85.3,83,17-Sep-2026
