"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ADANIPORTS",1748,1824,1744,1738.3,1824,4.93,4148803,7413869472.97,"12-Jun-2026"
"ADANIENT",2933,3020,2924.6,2923.2,3020,3.31,1628125,4868777562.5,"12-Jun-2026"
"BHARTIARTL",1843,1893.3,1835.3,1836,1893.3,3.12,14189780,26592924800.2,"24-Jul-2026"
"HDFCBANK",715.25,733.8,715.25,713,731,2.52,39400710,28683716880,"19-Jun-2026"
"BAJFINANCE",1025.9,1040.3,1019.1,1015,1040.3,2.49,8201656,8451478441.76,"30-Jun-2026"
"POWERGRID",264.6,270.3,263.4,263.75,270.3,2.48,17896733,4774669397.07,"13-Aug-2026"
"ULTRACEMCO",10890,11060,10819,10764,11014,2.32,458848,5043799458.88,"30-Jul-2026"
"APOLLOHOSP",8800,8944.5,8798,8768.5,8944.5,2.01,344265,3050088063.15,"14-Aug-2026"
"JSWSTEEL",1270.1,1278.7,1262.7,1253.4,1275.6,1.77,2378010,3025993944.9,"07-Jul-2026"
"INDIGO",4925,4970,4881,4845,4920,1.55,732347,3612177078.51,"13-Aug-2025"
"SHRIRAMFIN",1004.9,1019,1000.5,995,1010,1.51,4870631,4926107487.09,"03-Jul-2026"
"ETERNAL",328.5,329.75,325.7,322.35,326.85,1.4,17696853,5798373885.45,"-"
"AXISBANK",1244,1257,1240.5,1240,1257,1.37,5693016,7113480422.16,"10-Jul-2026"
"CIPLA",1371.7,1394.5,1371.7,1376.3,1394.5,1.32,1386584,1920238584.08,"05-Jun-2026"
"LT",3846,3898,3846,3836.2,3885,1.27,1547690,6002328742.5,"22-May-2026"
"TRENT",2789.3,2824,2776.1,2789,2824,1.25,925467,2595166797.39,"12-Jun-2026"
"MAXHEALTH",1037,1059.9,1034.9,1037,1049.3,1.19,2098416,2204994548.64,"03-Jul-2026"
"GRASIM",3175,3209.2,3174.5,3173.1,3209.2,1.14,682793,2181243689.87,"07-Aug-2026"
"DRREDDY",1182.6,1207.5,1182.1,1175,1185,0.85,3002566,3579298877.28,"10-Jul-2026"
"SBIN",992,996.2,985.1,988.7,996.2,0.76,5699456,5653233411.84,"15-May-2026"
