SYMBOL ,SERIES ,LTP ,%CHANGE ,PRICE BAND % ,VOLUME (Lakhs),VALUE (₹ Crores)
EMCURE,EQ,2083.00,9.07,10.00,17.45,349.08
LALITHAA,EQ,304.90,4.99,5.00,85.05,250.02
THANGAMAYL,EQ,5051.50,5.00,5.00,3.87,194.58
TBZ,EQ,603.55,4.99,5.00,14.37,86.42
HLEGLAS,EQ,447.00,7.54,10.00,10.21,45.46
CMRGREEN,EQ,232.50,9.02,10.00,18.41,42.42
RAMBHAJO,EQ,290.50,9.14,10.00,14.39,40.95
BODALCHEM,EQ,191.23,5.00,5.00,16.86,31.98
CORDELIA,EQ,115.10,4.94,5.00,24.36,27.97
SUDEEPPHRM,EQ,1150.00,4.03,5.00,2.17,24.91
HEG,BE,237.05,4.98,5.00,9.30,21.98
DEEDEV,EQ,668.75,4.99,5.00,2.89,19.23
GVPIL,EQ,656.10,4.99,5.00,1.28,8.33
WAAREEINDO,EQ,268.00,3.55,5.00,2.94,7.88
VALIANTORG,BE,427.60,4.69,5.00,1.61,6.90
STLNETWORK,EQ,42.95,4.99,5.00,12.50,5.37
PRIORITY,BE,232.22,5.00,5.00,2.30,5.26
RADHIKAJWE,BE,71.52,4.99,5.00,7.03,4.84
QUINT,EQ,70.02,9.99,10.00,6.69,4.61
WEL,EQ,72.94,4.99,5.00,5.47,3.91
GAYAPROJ,EQ,24.60,4.15,5.00,15.72,3.87
KAMDHENU,BE,41.05,4.99,5.00,9.47,3.83
SAHASRA,SM,336.10,5.00,5.00,1.11,3.70
NRL,BE,143.98,5.00,5.00,2.11,2.95
ACSTECH,BE,66.15,5.00,5.00,4.31,2.84
KSHITIJPOL,EQ,4.21,4.99,5.00,66.75,2.80
VETO,BE,139.15,5.00,5.00,1.89,2.61
SEJALLTD,EQ,715.75,4.99,5.00,0.37,2.58
ASHUTOSH,ST,156.00,4.98,5.00,1.61,2.49
TIRUPATIFL,BE,67.70,4.99,5.00,3.29,2.20
BHAGERIA,BE,334.75,4.99,5.00,0.63,2.09
SALSTEEL,EQ,82.26,4.99,5.00,2.52,2.06
VALIANTLAB,BE,124.36,1.31,5.00,1.56,1.98
RAMASTEEL,BE,4.28,4.14,5.00,45.11,1.91
SOFTTECH,EQ,525.70,4.99,5.00,0.35,1.84
BGRENERGY,BE,255.62,5.00,5.00,0.60,1.54
QMSMEDI,BE,177.36,5.00,5.00,0.87,1.53
TAURIAN,ST,517.25,4.99,5.00,0.29,1.48
MADHURKNIT,SM,51.30,9.38,10.00,2.86,1.42
MRIL,ST,85.30,4.98,5.00,1.70,1.42
FASCINATE,SM,47.85,4.93,5.00,2.70,1.26
ALKALI,EQ,87.66,20.00,20.00,1.34,1.13
ASTAR,EQ,807.35,20.00,20.00,0.14,1.11
MANUGRAPH,EQ,17.81,17.25,20.00,5.92,1.06
SAAKSHI,ST,372.35,4.29,5.00,0.28,1.05
AKANKSHA,SM,139.65,5.00,5.00,0.75,1.04
OPTIVALUE,ST,193.10,4.97,5.00,0.53,1.01
PKTEA,BE,910.00,-1.14,5.00,0.11,1.00
NURECA,BE,348.60,4.89,5.00,0.29,1.00
ROLLT,BE,5.71,4.96,5.00,15.10,0.85
KLL,SM,32.45,19.96,20.00,2.65,0.84
BI,BE,107.62,5.00,5.00,0.75,0.81
METALIC,ST,143.65,4.97,5.00,0.56,0.80
UNIVASTU,BE,152.26,5.00,5.00,0.52,0.79
APTECHT,BE,92.05,5.00,5.00,0.85,0.78
HPTL,SM,434.05,5.00,5.00,0.16,0.67
SILKFLEX,SM,280.35,5.00,5.00,0.23,0.64
SHEKHAWATI,BE,21.85,3.95,5.00,2.68,0.58
SHIVAMAUTO,EQ,19.42,19.95,20.00,2.92,0.56
HVAX,SM,677.50,0.50,5.00,0.08,0.56
LANCORHOL,BE,36.90,4.83,5.00,1.50,0.55
ABH,SM,43.75,9.92,10.00,1.24,0.52
DIGISPICE,EQ,16.91,3.87,5.00,3.01,0.51
VARDHACRLC,BE,44.50,3.15,5.00,1.12,0.50
KEN,SM,44.15,5.62,20.00,1.02,0.48
KAYA,BE,341.00,4.99,5.00,0.14,0.47
APEXECO,ST,262.50,5.00,5.00,0.18,0.46
ABINFRA,BE,11.57,4.99,5.00,3.95,0.45
EPWINDIA,ST,240.00,0.00,5.00,0.18,0.45
FONEBOX,SM,132.20,4.96,5.00,0.33,0.44
GATECH,BE,0.73,4.29,5.00,56.80,0.41
GOLDSTAR,SM,9.15,1.67,5.00,4.39,0.41
GCHOTELS,ST,115.05,4.97,5.00,0.35,0.41
MCLEODRUSS,EQ,44.33,5.00,5.00,0.85,0.37
DYNAMIC,ST,143.00,2.22,5.00,0.24,0.35
TEAMTECH,ST,131.90,4.97,5.00,0.26,0.34
DHABRIYA,BE,490.65,5.00,5.00,0.07,0.33
LAKSHYA,SM,93.25,9.96,10.00,0.35,0.32
LPDC,EQ,7.24,18.69,20.00,4.57,0.32
TECHNVISN,EQ,4350.00,4.97,5.00,0.01,0.31
IL&FSENGG,BZ,40.95,5.00,5.00,0.77,0.31
IEML,ST,43.40,4.96,5.00,0.70,0.30
AMEYA,SM,142.55,4.97,5.00,0.20,0.28
GJL,ST,306.65,5.00,5.00,0.09,0.26
UTKAL,SM,48.40,4.99,5.00,0.54,0.26
ANYA,SM,18.30,20.00,20.00,1.55,0.26
WOMANCART,ST,106.05,5.00,5.00,0.24,0.25
BHADORA,ST,122.90,4.42,5.00,0.19,0.23
SHREEDHAR,ST,161.00,4.99,5.00,0.14,0.23
AKSHARCHEM,BE,392.15,4.99,5.00,0.06,0.23
EVERESTIND,BE,410.50,2.63,5.00,0.05,0.22
BURNPUR,BE,17.98,2.74,5.00,1.21,0.22
REFRACTORY,SM,31.65,4.80,5.00,0.66,0.21
NIMBSPROJ,EQ,192.90,4.99,5.00,0.10,0.20
AAKAAR,SM,65.00,3.17,5.00,0.29,0.18
VISACHROME,EQ,30.39,0.40,5.00,0.55,0.16
NFPSAMPOOR,SM,22.40,9.80,10.00,0.62,0.13
MONEYBOXX,EQ,54.49,4.99,5.00,0.24,0.13
NGIL,EQ,38.43,9.99,10.00,0.33,0.13
CAPTRUST,BE,19.40,4.98,5.00,0.65,0.13
DIGJAMLMTD,BE,61.60,4.99,5.00,0.19,0.11
SVGLOBAL,EQ,153.90,19.99,20.00,0.07,0.09
FMNL,EQ,9.34,4.83,5.00,1.04,0.09
SADBHAV,EQ,7.72,2.66,5.00,1.18,0.09
SWISSMLTRY,BE,14.79,0.89,5.00,0.59,0.09
S&SPOWER,EQ,322.00,1.04,5.00,0.02,0.08
GVKPIL,BE,2.41,1.69,2.00,3.22,0.08
MBECL,BE,401.59,5.00,5.00,0.02,0.08
