SYMBOL,SERIES,LTP,CHANGE,PERCENT_CHANGE,NEW_52W_HIGH_PRICE,PREV_HIGH,PREV_HIGH_DATE,PREV_CLOSE,COMPANY_NAME
AAREYDRUGS,EQ,101,-0.72,-0.7078254030672434,103.5,102.96,17-Sep-2026,101.72,Aarey Drugs & Pharmaceuticals Limited
ACE,EQ,1229.1,23.5,1.949236894492369,1241.5,1213.2,17-Sep-2026,1205.6,Action Construction Equipment Limited
ACMESOLAR,EQ,438.65,27.35,6.649647459275468,440.7,430.5,04-Sep-2026,411.3,Acme Solar Holdings Limited
ACSTECH,BE,66.15,3.15,5,66.15,63,17-Sep-2026,63,ACS Technologies Limited
AEGISVOPAK,EQ,316,5.3,1.7058255551979402,317,316,17-Sep-2026,310.7,Aegis Vopak Terminals Limited
AHCL,EQ,23.1,1.26,5.769230769230769,24.78,22.94,15-Sep-2026,21.84,Anlon Healthcare Limited
AKANKSHA,SM,139.65,6.65,5,139.65,139.5,26-Aug-2026,133,Akanksha Power and Infrastructure Limited
ALGOQUANT,EQ,72.67,2.54,3.6218451447312137,76.2,71.85,17-Sep-2026,70.13,Algoquant Fintech Limited
ALUFLUOR,EQ,538,45.8,9.30516050386022,542.5,509.9,02-Sep-2026,492.2,Alufluoride Limited
AMEYA,SM,142.55,6.75,4.970544918998527,142.55,135.8,17-Sep-2026,135.8,Ameya Precision Engineers Limited
ANANDRATHI,EQ,2225,17.6,0.7973181118057443,2268.4,2255,07-Sep-2026,2207.4,Anand Rathi Wealth Limited
ANLON,SM,736,39.1,5.6105610561056105,763.9,748,15-Jun-2026,696.9,Anlon Technology Solutions Limited
APARINDS,EQ,18791,990,5.5614853098140555,19080,18465,12-Aug-2026,17801,Apar Industries Limited
APOORVA,EQ,31.1,1.35,4.53781512605042,31.2,29.75,17-Sep-2026,29.75,Apoorva Leasing Finance and Investment Company Limited
ASTAR,EQ,807.35,134.55,19.998513674197383,807.35,723,13-May-2026,672.8,Asian Star Company Limited
AUROPHARMA,EQ,1734,44,2.603550295857988,1734,1717,31-Aug-2026,1690,Aurobindo Pharma Limited
AVALON,EQ,2602,372,16.681614349775785,2618,2424,07-Sep-2026,2230,Avalon Technologies Limited
BHAGYANGR,EQ,447,0.5,0.11198208286674133,467.9,446.5,17-Sep-2026,446.5,Bhagyanagar India Limited
BIKEWO,ST,116.6,4.4,3.9215686274509802,116.6,115.8,19-Aug-2026,112.2,Bikewo Green Tech Limited
BIRLACABLE,EQ,408.4,6.75,1.6805676584090625,418.8,411.95,15-Sep-2026,401.65,Birla Cable Limited
BODALCHEM,EQ,191.23,9.1,4.996431120628123,191.23,189.68,09-Sep-2026,182.13,Bodal Chemicals Limited
CONFIPET,EQ,91.8,5.04,5.809128630705394,92.61,91.65,15-Sep-2026,86.76,Confidence Petroleum India Limited
CPCAP,EQ,145.5,4.45,3.15490960652251,152,144.4,19-Sep-2025,141.05,CP Capital Limited
CSM,EQ,111.5,8.86,8.63211223694466,114.9,113,02-Jul-2026,102.64,CSM Technologies Limited
DICIND,EQ,628.3,-0.15,-0.02386824727504177,642,638.95,04-Sep-2026,628.45,DIC India Limited
DSKULKARNI,BE,22.71,0.44,1.9757521329142345,22.71,22.27,17-Sep-2026,22.27,DS Kulkarni Developers Limited
EMCURE,EQ,2083,173.2,9.06901246203791,2100.7,2048,10-Aug-2026,1909.8,Emcure Pharmaceuticals Limited
EMIL,EQ,195.9,10.83,5.851839844383206,202.86,196.74,13-Aug-2026,185.07,Electronics Mart India Limited
FILATEX,EQ,93.42,3.07,3.397897066961815,94.5,91.9,17-Sep-2026,90.35,Filatex India Limited
GCSL,EQ,617.2,22.85,3.8445360477832926,620.5,616.9,10-Sep-2026,594.35,Gretex Corporate Services Limited
GFSTEELS,BE,25.44,1.21,4.993809327280231,25.44,24.23,17-Sep-2026,24.23,Grand Foundry Limited
GJL,ST,306.65,14.6,4.99914398219483,306.65,292.95,16-Sep-2026,292.05,Grover Jewells Limited
GKSL,EQ,182,4.18,2.350691710718704,186,183.05,15-Sep-2026,177.82,Gujarat Kidney And Super Speciality Limited
GLASSWALL,EQ,273.6,15.78,6.120549220386316,304.2,257.82,17-Sep-2026,257.82,Glass Wall Systems (India) Limited
GMMPFAUDLR,EQ,1458,94.6,6.938536012908904,1475,1384.8,15-Sep-2026,1363.4,GMM Pfaudler Limited
GOCLCORP,EQ,448,-8.15,-1.7866929738024773,461.4,459.9,22-Jun-2026,456.15,GOCL Corporation Limited
GRAUWEIL,EQ,86.7,7.61,9.621949677582501,88.53,87.4,02-Jul-2026,79.09,Grauer & Weil India Limited
GREENCHEF,SM,74,2.3,3.2078103207810322,74,73.5,15-Sep-2026,71.7,Greenchef Appliances Limited
HPTL,SM,434.05,20.65,4.995162070633769,434.05,413.4,17-Sep-2026,413.4,HP Telecom India Limited
IL&FSENGG,BZ,40.95,1.95,5,40.95,40.05,17-Sep-2026,39,IL&FS Engineering and Construction Company Limited
IMPEXFERRO,BZ,5.58,0.1,1.8248175182481752,5.58,5.48,17-Sep-2026,5.48,Impex Ferro Tech Limited
INDOKEM,EQ,615.05,-28.1,-4.369120733887896,668,666.9,17-Sep-2026,643.15,Indokem Limited
INDOMIM,EQ,1062,68.8,6.927104309303262,1064,1028.5,10-Sep-2026,993.2,INDO-MIM Limited
IPCALAB,EQ,1999,28.7,1.4566309699030604,2038,2014,17-Sep-2026,1970.3,IPCA Laboratories Limited
IRISDOREME,EQ,64.98,2.43,3.884892086330935,66.3,65,07-Sep-2026,62.55,Iris Clothings Limited
