SYMBOL,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,PERCENT_CHANGE,VOLUME,VALUE,CA_EX_DATE,CA_PURPOSE
ADANIPORTS,EQ,1748,1824,1744,1738.3,1824,4.93,4148803,74138.6947297,12-Jun-2026,Dividend - Rs 7.50 Per Share
ADANIENT,EQ,2933,3020,2924.6,2923.2,3020,3.31,1628125,48687.775625,12-Jun-2026,Dividend - Rs 1.30 Per Share
BHARTIARTL,EQ,1843,1893.3,1835.3,1836,1893.3,3.12,14189780,265929.24800200004,24-Jul-2026,Dividend - Rs 24 Per Share
HDFCBANK,EQ,715.25,733.8,715.25,713,731,2.52,39400710,286837.1688,19-Jun-2026,Dividend - Rs 13 Per Share
BAJFINANCE,EQ,1025.9,1040.3,1019.1,1015,1040.3,2.49,8201656,84514.7844176,30-Jun-2026,Dividend - Rs 6 Per Share
POWERGRID,EQ,264.6,270.3,263.4,263.75,270.3,2.48,17896733,47746.6939707,13-Aug-2026,Dividend - Rs 1.25 Per Share
ULTRACEMCO,EQ,10890,11060,10819,10764,11014,2.32,458848,50437.9945888,30-Jul-2026,Dividend - Rs 240 Per Share
APOLLOHOSP,EQ,8800,8944.5,8798,8768.5,8944.5,2.01,344265,30500.8806315,14-Aug-2026,Dividend - Rs 10 Per Sh
JSWSTEEL,EQ,1270.1,1278.7,1262.7,1253.4,1275.6,1.77,2378010,30259.939449,07-Jul-2026,Dividend - Rs 7.10 Per Share
INDIGO,EQ,4925,4970,4881,4845,4920,1.55,732347,36121.7707851,13-Aug-2025,Dividend - Rs 10 Per Share
SHRIRAMFIN,EQ,1004.9,1019,1000.5,995,1010,1.51,4870631,49261.0748709,03-Jul-2026,Dividend - Rs 6 Per Share
ETERNAL,EQ,328.5,329.75,325.7,322.35,326.85,1.4,17696853,57983.7388545,-,-
AXISBANK,EQ,1244,1257,1240.5,1240,1257,1.37,5693016,71134.8042216,10-Jul-2026,Dividend - Re 1 Per Share
CIPLA,EQ,1371.7,1394.5,1371.7,1376.3,1394.5,1.32,1386584,19202.385840799998,05-Jun-2026,Dividend - Rs 13 Per Share
LT,EQ,3846,3898,3846,3836.2,3885,1.27,1547690,60023.287425,22-May-2026,Dividend - Rs 38 Per Share
TRENT,EQ,2789.3,2824,2776.1,2789,2824,1.25,925467,25951.6679739,12-Jun-2026,Dividend - Rs 4 Per Share
MAXHEALTH,EQ,1037,1059.9,1034.9,1037,1049.3,1.19,2098416,22049.9454864,03-Jul-2026,Dividend - Rs 2 Per Share
GRASIM,EQ,3175,3209.2,3174.5,3173.1,3209.2,1.14,682793,21812.436898699998,07-Aug-2026,Dividend - Rs 10 Per Share
DRREDDY,EQ,1182.6,1207.5,1182.1,1175,1185,0.85,3002566,35792.9887728,10-Jul-2026,Dividend - Rs 8 Per Share
SBIN,EQ,992,996.2,985.1,988.7,996.2,0.76,5699456,56532.3341184,15-May-2026,Dividend - Rs 17.35 Per Share
