SYMBOL,SERIES,LTP,CHANGE,PERCENT_CHANGE,PRICE_BAND_PERCENT,VOLUME_LAKHS,VALUE_CRORES,HIGH_PRICE,LOW_PRICE,YEAR_HIGH,YEAR_LOW
EMCURE,EQ,2083,173.2,   9.07,10,17.44754,349.079911796,2100.7,1915.1,2100.7,1260
LALITHAA,EQ,304.9,14.5,   4.99,5,85.05145,250.01724241999997,304.9,277,343.9,240.35
THANGAMAYL,EQ,5051.5,240.5,   5.00,5,3.86791,194.576372923,5051.5,4794.5,7430,1939.5
TBZ,EQ,603.55,28.7,   4.99,5,14.36925,86.4166695,603.55,585.1,603.55,110.5
HLEGLAS,EQ,447,31.35,   7.54,10,10.20903,45.459789687,457.2,413,661.95,250
CMRGREEN,EQ,232.5,19.24,   9.02,10,18.40718,42.424868464,234.58,214.79,268.96,205.25
RAMBHAJO,EQ,290.5,24.33,   9.14,10,14.39325,40.95455355,292.78,265.01,292.78,161.6
BODALCHEM,EQ,191.23,9.1,   5.00,5,16.86113,31.980505271,191.23,184.05,191.23,42.81
CORDELIA,EQ,115.1,5.42,   4.94,5,24.35983,27.96508484,115.16,109.68,115.49,62.31
SUDEEPPHRM,EQ,1150,44.6,   4.03,5,2.17226,24.911260454,1160.6,1107.2,1378,524.05
HEG,BE,237.05,11.25,   4.98,5,9.30482,21.981706768000002,237.05,226.25,753.9,214.1
DEEDEV,EQ,668.75,31.8,   4.99,5,2.88664,19.231950336,668.75,636.8,760,183
GVPIL,EQ,656.1,31.2,   4.99,5,1.28144,8.331025872,656.1,628.85,1084,270.9
WAAREEINDO,EQ,268,9.2,   3.55,5,2.93556,7.884033492,271.7,253.3,725,241.1
VALIANTORG,BE,427.6,19.15,   4.69,5,1.61458,6.896839928,428.85,413,428.85,195
STLNETWORK,EQ,42.95,2.04,   4.99,5,12.50147,5.369381365,42.95,42.95,42.95,15.75
PRIORITY,BE,232.22,11.05,   5.00,5,2.29769,5.256655182,232.22,217.1,245,209.61
RADHIKAJWE,BE,71.52,3.4,   4.99,5,7.03327,4.839593087,71.52,66,99.65,50.01
QUINT,EQ,70.02,6.36,   9.99,10,6.68824,4.613547952,70.02,58.56,70.02,33.45
WEL,EQ,72.94,3.47,   4.99,5,5.46636,3.9128204880000004,72.94,68.01,183.53,68.01
GAYAPROJ,EQ,24.6,0.98,   4.15,5,15.72098,3.8689331780000003,24.8,23.57,27.33,10.99
KAMDHENU,BE,41.05,1.95,   4.99,5,9.47462,3.834378714,41.05,39,41.05,16.15
SAHASRA,SM,336.1,16,   5.00,5,1.112,3.7025152,336.1,318,369,188.35
NRL,BE,143.98,6.85,   5.00,5,2.10713,2.94787487,143.98,132.9,143.98,45.1
ACSTECH,BE,66.15,3.15,   5.00,5,4.30625,2.8438475,66.15,64.99,66.15,31.71
KSHITIJPOL,EQ,4.21,0.2,   4.99,5,66.75034,2.80351428,4.21,4.2,7.2,1.88
VETO,BE,139.15,6.62,   5.00,5,1.89474,2.609814876,139.15,131.15,153.95,82.32
SEJALLTD,EQ,715.75,34.05,   4.99,5,0.36648,2.583977184,715.75,669.85,1036.7,381
ASHUTOSH,ST,156,7.4,   4.98,5,1.608,2.4906312,156,146.7,172.5,137
TIRUPATIFL,BE,67.7,3.22,   4.99,5,3.28776,2.200168992,67.7,63.8,83.9,30.11
BHAGERIA,BE,334.75,15.9,   4.99,5,0.62603,2.092755687,334.75,325,342,127.51
SALSTEEL,EQ,82.26,3.91,   4.99,5,2.51942,2.05710643,82.26,80.01,86.25,26.1
VALIANTLAB,BE,124.36,1.61,   1.31,5,1.55553,1.980500796,128.88,121,129.9,49.51
RAMASTEEL,BE,4.28,0.17,   4.14,5,45.10946,1.9081301579999999,4.31,4.04,11.29,3.43
SOFTTECH,EQ,525.7,25,   4.99,5,0.3507,1.84026318,525.7,515,525.7,215
BGRENERGY,BE,255.62,12.17,   5.00,5,0.60331,1.536147922,255.62,251,490.8,218
QMSMEDI,BE,177.36,8.44,   5.00,5,0.86775,1.526979675,177.36,168.92,177.36,68.95
TAURIAN,ST,517.25,24.6,   4.99,5,0.288,1.4760288,517.25,503,545.25,192
MADHURKNIT,SM,51.3,4.4,   9.38,10,2.856,1.4188608,51.55,45.5,100,44.85
MRIL,ST,85.3,4.05,   4.98,5,1.696,1.418704,85.3,78.4,85.3,29.05
FASCINATE,SM,47.85,2.25,   4.93,5,2.704,1.2646608,47.85,43.45,120.8,43.45
ALKALI,EQ,87.66,14.61,  20.00,20,1.33798,1.126445362,87.66,72.05,107.38,46.8
ASTAR,EQ,807.35,134.55,  20.00,20,0.13851,1.112609277,807.35,760.35,807.35,485
MANUGRAPH,EQ,17.81,2.62,  17.25,20,5.91694,1.060315648,18.22,15.04,24,9.65
SAAKSHI,ST,372.35,15.3,   4.29,5,0.282,1.0469814,374.9,357,377.2,147.4
AKANKSHA,SM,139.65,6.65,   5.00,5,0.75,1.03815,139.65,133.05,139.65,57
OPTIVALUE,ST,193.1,9.15,   4.97,5,0.528,1.010064,193.1,180,202,56.05
PKTEA,BE,910,-10.5,  -1.14,5,0.10797,1.002814563,966.5,904,1169,605
NURECA,BE,348.6,16.25,   4.89,5,0.28818,0.9994082400000001,348.95,327.15,358,204
ROLLT,BE,5.71,0.27,   4.96,5,15.0976,0.8484851199999999,5.71,5.18,5.71,1.07
KLL,SM,32.45,5.4,  19.96,20,2.648,0.8357088,32.45,26.75,70.45,21
BI,BE,107.62,5.12,   5.00,5,0.75195,0.808271055,107.62,104.2,111.51,51.62
METALIC,ST,143.65,6.8,   4.97,5,0.56,0.800632,143.65,139.95,161.95,81.4
UNIVASTU,BE,152.26,7.25,   5.00,5,0.51713,0.787330425,152.26,152.25,178.98,56.02
APTECHT,BE,92.05,4.38,   5.00,5,0.8536,0.7751541599999999,92.05,87.01,132.99,69.1
HPTL,SM,434.05,20.65,   5.00,5,0.156,0.671268,434.05,425,434.05,190
SILKFLEX,SM,280.35,13.35,   5.00,5,0.23,0.637238,280.35,266.3,302.7,76
SHEKHAWATI,BE,21.85,0.83,   3.95,5,2.68145,0.582679085,22.07,20.6,24.8,9.12
SHIVAMAUTO,EQ,19.42,3.23,  19.95,20,2.9198,0.56147754,19.42,16.7,35.79,13.05
HVAX,SM,677.5,3.35,   0.50,5,0.0795,0.5573586,707.85,677.5,1007,585.2
LANCORHOL,BE,36.9,1.7,   4.83,5,1.49561,0.5494871139999999,36.96,33.62,41.75,18.12
ABH,SM,43.75,3.95,   9.92,10,1.236,0.5218392,43.75,39,99,38.2
DIGISPICE,EQ,16.91,0.63,   3.87,5,3.00569,0.5058576269999999,17.09,16.15,33.89,14.82
VARDHACRLC,BE,44.5,1.36,   3.15,5,1.1209,0.50317201,45.29,43.15,48.55,27.01
KEN,SM,44.15,2.35,   5.62,20,1.02,0.47889,50.15,43.7,51.2,29
KAYA,BE,341,16.2,   4.99,5,0.13887,0.47126923200000004,341,326,487.9,224.01
APEXECO,ST,262.5,12.5,   5.00,5,0.176,0.4588672,262.5,252.5,297.15,102.05
ABINFRA,BE,11.57,0.55,   4.99,5,3.95493,0.453234978,11.57,11,23.56,8.82
EPWINDIA,ST,240,0,   0.00,5,0.18,0.445464,252,240,282.05,98
FONEBOX,SM,132.2,6.25,   4.96,5,0.33,0.436227,132.2,132,136.5,57
GATECH,BE,0.73,0.03,   4.29,5,56.80142,0.414650366,0.73,0.73,1.11,0.4
GOLDSTAR,SM,9.15,0.15,   1.67,5,4.3875,0.41374125,9.45,9.15,9.95,4.5
GCHOTELS,ST,115.05,5.45,   4.97,5,0.354,0.4062858,115.05,113,232,76.5
MCLEODRUSS,EQ,44.33,2.11,   5.00,5,0.8473,0.37035482999999997,44.33,42.22,78.41,28.5
DYNAMIC,ST,143,3.1,   2.22,5,0.24,0.346656,146.85,139.1,183.9,84.7
TEAMTECH,ST,131.9,6.25,   4.97,5,0.26,0.339898,131.9,125.65,143.8,68.25
DHABRIYA,BE,490.65,23.35,   5.00,5,0.06986,0.331304064,490.65,460,603,460
LAKSHYA,SM,93.25,8.45,   9.96,10,0.352,0.3198272,93.25,86.5,165.9,73.15
LPDC,EQ,7.24,1.14,  18.69,20,4.56816,0.316573488,7.32,6.14,9.46,5.23
TECHNVISN,EQ,4350,206,   4.97,5,0.00752,0.313927664,4351,3941,6198,3222.8
IL&FSENGG,BZ,40.95,1.95,   5.00,5,0.77426,0.30892974,40.95,38.6,40.95,21
IEML,ST,43.4,2.05,   4.96,5,0.7,0.29505,43.4,40,173.57,37.8
AMEYA,SM,142.55,6.75,   4.97,5,0.2,0.28036,142.55,135.8,142.55,86
GJL,ST,306.65,14.6,   5.00,5,0.088,0.2649504,306.65,277.5,306.65,91.4
UTKAL,SM,48.4,2.3,   4.99,5,0.54,0.259308,48.4,46.5,66,22.6
ANYA,SM,18.3,3.05,  20.00,20,1.55,0.25792,18.3,15,25.05,14.15
WOMANCART,ST,106.05,5.05,   5.00,5,0.24,0.253272,106.05,103.8,358,88
BHADORA,ST,122.9,5.2,   4.42,5,0.192,0.2314944,123.55,115,127.8,49.5
SHREEDHAR,ST,161,7.65,   4.99,5,0.14,0.22505,161,160,161,54.4
AKSHARCHEM,BE,392.15,18.65,   4.99,5,0.05797,0.225033743,392.15,373.5,472,141.3
EVERESTIND,BE,410.5,10.5,   2.63,5,0.05429,0.221704073,420,395,750,284.9
BURNPUR,BE,17.98,0.48,   2.74,5,1.20881,0.216497871,18.37,16.8,22.63,11.13
REFRACTORY,SM,31.65,1.45,   4.80,5,0.66,0.208956,31.7,31,61.2,23.15
NIMBSPROJ,EQ,192.9,9.17,   4.99,5,0.10487,0.198634267,192.91,178.02,231.23,141.04
AAKAAR,SM,65,2,   3.17,5,0.288,0.1793088,66.15,61.05,96,46
VISACHROME,EQ,30.39,0.12,   0.40,5,0.54826,0.163984566,31.78,28.8,73.68,27.05
NFPSAMPOOR,SM,22.4,2,   9.80,10,0.62,0.133114,22.4,21.25,54.5,19.5
MONEYBOXX,EQ,54.49,2.59,   4.99,5,0.24084,0.131233716,54.49,54.49,91.5,35.85
NGIL,EQ,38.43,3.49,   9.99,10,0.33418,0.125885606,38.43,35.94,43.89,22.01
CAPTRUST,BE,19.4,0.92,   4.98,5,0.64785,0.12522940500000002,19.4,18.6,34.07,10.98
DIGJAMLMTD,BE,61.6,2.93,   4.99,5,0.18535,0.1104686,61.6,58.5,73.19,36.03
SVGLOBAL,EQ,153.9,25.64,  19.99,20,0.06683,0.09496543,153.91,126.4,172.81,114.3
FMNL,EQ,9.34,0.43,   4.83,5,1.03859,0.092746087,9.35,8.53,13.94,6.74
SADBHAV,EQ,7.72,0.2,   2.66,5,1.18102,0.090820438,7.89,7.57,14.7,6.05
SWISSMLTRY,BE,14.79,0.13,   0.89,5,0.58881,0.087791571,15.39,14.51,18.5,13
S&SPOWER,EQ,322,3.3,   1.04,5,0.02414,0.078669846,334.6,318,444.95,193.5
GVKPIL,BE,2.41,0.04,   1.69,2,3.21527,0.077488007,2.41,2.41,4.06,2.04
MBECL,BE,401.59,19.12,   5.00,5,0.01893,0.076020987,401.59,401.59,401.59,213
PENTAGON,ST,91.35,4.35,   5.00,5,0.07,0.063441,91.35,87.1,100.1,49.15
DHARAN,BZ,0.14,0.01,   7.69,5,48.58146,0.063155898,0.14,0.13,0.61,0.11
CLSL,ST,71.55,-3.4,  -4.54,5,0.08,0.060824,78.65,71.55,92.25,39.05
CTE,BE,40.7,1.93,   4.98,5,0.14992,0.060762576,40.7,38.59,59.93,20.51
