SYMBOL,SECURITY_NAME,TODAY_VOLUME,PAST_WEEK_AVG_VOLUME,PAST_WEEK_CHANGE,PAST_2_WEEK_AVG_VOLUME,PAST_2_WEEK_CHANGE,TODAY_LTP,TODAY_PERCENT_CHANGE,TODAY_VALUE
NIFTYBETA,UTI Nifty 50 ETF,2607269,31044,83.98624532921015,35029,74.43109054420157,261.99,1.19,6761.16997
ATGL,Adani Total Gas Limited,39305845,525614,74.78078978840374,530622,74.07491271107975,657.6,12.03,256509.94447
BBTC,The Bombay Burmah Trading Corporation Limited,2468226,33080,74.61384522370012,42160,58.54425996204934,1512.5,8.08,36871.34727
MANUGRAPH,Manugraph India Limited,591694,15508,38.15312991669031,12947,45.69877275500668,17.81,17.25,106.03156
ASTAR,Asian Star Company Limited,13851,395,34.994946942900455,207,66.8484555984556,807.35,20,111.26092
ABCOTS,A B Cotspin India Limited,219982,6465,34.02660479505027,5703,38.57235538566744,209,-0.87,473.92922
SKYWAYS,Skyways Air Services Limited,92941309,2792316,33.284662511741146,5392531,17.235191384053717,124.7,5.7,120256.75971
AQYLON,Aqylon Nexus Limited,38267346,1229973,31.112341309550484,1120049,34.16576320957243,18.07,-4.29,6880.46881
SKFINDUS,SKF India (Industrial) Limited,1293995,43535,29.723096359251176,41407,31.250030187549207,2950,0.33,38704.55504
TIMEX,Timex Group India Limited,6651306,243462,27.319643608212193,343063,19.38799031781899,720,17.82,46394.18961
GPTINFRA,GPT Infraprojects Limited,3008060,134024,22.44418910045962,176819,17.012018457219416,119.2,4.97,3601.85104
GODIGIT,Go Digit General Insurance Limited,3424067,159296,21.494942760790575,153516,22.304184297744612,236.7,-7.36,8269.80661
LPDC,Landmark Property Development Company Limited,456816,23563,19.386346854072773,48115,9.494115226422977,7.24,18.69,31.65734
GRAUWEIL,Grauer & Weil India Limited,14617872,789079,18.525227885870013,501775,29.132318443063436,86.7,9.62,12698.5454
SAMBHV,Sambhv Steel Tubes Limited,28285913,1808946,15.636676616103538,1801972,15.697197215362147,150.11,16.28,40850.51555
NRBBEARING,NRB Bearing Limited,9738086,659709,14.761170672671733,537950,18.102197135238278,529.5,12.13,50950.63976
HAZOOR,Hazoor Multi Projects Limited,2904804,210619,13.791747183302551,524470,5.538542851194004,19.49,5.07,556.26996
SHIVAMAUTO,Shivam Autotech Limited,291980,23830,12.252211423871628,32565,8.966040331520555,19.42,19.95,56.14775
CENTRALBK,Central Bank of India,56472458,4926815,11.462263373526705,5002638,11.288534414618717,32.15,5.76,17817.06049
COMPUSOFT,Compucom Software Limited,299192,26394,11.335263006349736,26529,11.277667209456608,13.52,4.48,41.7672
LUXIND,Lux Industries Limited,279753,25143,11.126122543131904,20633,13.558128489454095,1126,8.22,3149.71105
WHBRADY,WH Brady & Company Limited,124,11,10.782608695652174,49,2.524886877828054,473,-2.87,0.59211
QUINT,Quint Digital Limited,668824,64032,10.445054550338421,35163,19.020188318133087,70.02,9.99,461.35479
TVSHLTD,TVS Holdings Limited,45028,4396,10.241550288859573,7114,6.329224238505545,12875,-0.07,5759.64405
SKFINDIA,SKF India Limited,324766,32339,10.04248713635464,34347,9.455247367363754,1534.9,-0.4,5094.86405
